id_arbol,direccion,tipo_vereda,lado_vereda,especie,tipo_tendido,distancia_entre_ar,distancia_al_muro,activo,lng,lat
1526,Bolivar 1220,Mediana,Par,Ficus variegado,Media Tensión (Sin Protección),7.0,3.0,True,-58.849615844482,-27.4702658877729
1527,Don Bosco 1220,Mediana,Par,Chivato,Media Tensión (Sin Protección),5.0,3.0,True,-58.849611900031,-27.470315989279
1528,Don Bosco 1220,Mediana,Par,Ficus variegado,Media Tensión (Sin Protección),5.0,3.0,True,-58.8496142964789,-27.4703443298419
1529,Don Bosco 1230,Mediana,Par,Lluvia de oro,Media Tensión (Sin Protección),5.0,3.0,True,-58.84961716201,-27.470381069382
1530,Don Bosco 1260,Mediana,Par,Pata de Buey,Media Tensión (Sin Protección),15.0,3.0,True,-58.8496204524269,-27.4704243896369
1531,Don Bosco 1280,Mediana,Par,Chivato,Media Tensión (Sin Protección),20.0,3.0,True,-58.849671310855,-27.4706529051609
1532,Don Bosco 1280,Mediana,Par,Albizia,Media Tensión (Sin Protección),9.0,3.0,True,-58.8496771922869,-27.470737715946
1533,Don Bosco 1290,Mediana,Par,Jacarandá,Media Tensión (Sin Protección),7.0,3.0,True,-58.8496962109789,-27.4708306315489
1500,San Lorenzo 1185,Mediana,Impar,Fresno,Alta tensión (Con Protección),4.0,2.0,True,-58.8320774692279,-27.471088998366
1492,San Martín 1007,Mediana,Impar,Fresno,Alta tensión (Con Protección),7.0,2.0,True,-58.832028101316,-27.470444077535
